group_id,kept_bit,kept_prevalence,n_features,max_distance_to_kept,mean_distance_to_kept,member_bits
1428,2035,64,1,0.0,0.0,2035
1487,2036,58,1,0.0,0.0,2036
1068,2037,101,1,0.0,0.0,2037
568,2038,215,1,0.0,0.0,2038
1617,2039,48,1,0.0,0.0,2039
1800,2040,35,1,0.0,0.0,2040
390,2041,332,1,0.0,0.0,2041
630,2042,191,1,0.0,0.0,2042
1757,2043,38,1,0.0,0.0,2043
992,2044,112,1,0.0,0.0,2044
1235,2045,83,1,0.0,0.0,2045
1835,2046,33,1,0.0,0.0,2046
882,2047,128,1,0.0,0.0,2047
